id,name,2020-03-02,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01
0,no_layer,1,0.555565179000084,0.204215782295767,0.131361334854349,0.122944960686204,0.152340683901076,0.208695971294666,0.254546945029437,0.322661567839969,0.386101298032953,0.491984463658598,0.580462523850706,0.710527723703108,0.806532505930296
1,family_inside,1,0.790475194757776,0.413424071168474,0.378379185854252,0.503875968992248,0.48978817172421,0.549520454931528,0.565285190279619,0.617341203002695,0.646793598018029,0.730786629941518,0.772320620291649,0.853894910005898,0.881575794872734
2,family_in_house,1,0.790475194757776,0.413424071168474,0.378379185854252,0.503875968992248,0.48978817172421,0.549520454931528,0.565285190279619,0.617341203002695,0.646793598018029,0.730786629941518,0.772320620291649,0.853894910005898,0.881575794872734
3,family_visitsors_to_visited,1,0.706867330446006,0.541234681652391,0.403926841986468,0.44273127753304,0.466796859099201,0.576683967293752,0.613968809354851,0.741895744121573,0.814189781845706,0.908713681145861,0.89319711640602,1.06986825850726,1.0455898456594
4,nursary_children_inclass,1,0.36504700282317,0.0881691879674002,0.0372656637395284,0.0229174245180065,0.0420163706345388,0.0698522194674865,0.095822815751729,0.131505462440537,0.16666527749266,0.221822419838581,0.270812785987489,0.340753281849229,0.395670919082142
5,nursary_teachers_to_children,1,0.36504700282317,0.0881691879674002,0.0372656637395284,0.0229174245180065,0.0420163706345388,0.0698522194674865,0.095822815751729,0.131505462440537,0.16666527749266,0.221822419838581,0.270812785987489,0.340753281849229,0.395670919082142
6,lower_elementary_children_inclass,1,0.36504700282317,0.0881691879674002,0.0372656637395284,0.0229174245180065,0.0333303766673037,0.050113152175358,0.0649714952742457,0.0859946385229735,0.106272634369898,0.138840141462354,0.167104668736313,0.207902049674062,0.239208441620914
7,lower_elementary_teachers_to_children,1,0.36504700282317,0.0881691879674002,0.0372656637395284,0.0229174245180065,0.0333303766673037,0.050113152175358,0.0649714952742457,0.0859946385229735,0.106272634369898,0.138840141462354,0.167104668736313,0.207902049674062,0.239208441620914
8,higher_elementary_children_inclass,1,0.36504700282317,0.0881691879674002,0.0372656637395284,0.0229174245180065,0.0333303766673037,0.050113152175358,0.0649714952742457,0.0859946385229735,0.106272634369898,0.138840141462354,0.167104668736313,0.207902049674062,0.239208441620914
9,higher_elementary_teachers_to_children,1,0.36504700282317,0.0881691879674002,0.0372656637395284,0.0229174245180065,0.0333303766673037,0.050113152175358,0.0649714952742457,0.0859946385229735,0.106272634369898,0.138840141462354,0.167104668736313,0.207902049674062,0.239208441620914
10,highschool_children_inclass,1,0.36504700282317,0.0881691879674002,0.0372656637395284,0.0229174245180065,0.0333303766673037,0.050113152175358,0.0649714952742457,0.0859946385229735,0.106272634369898,0.138840141462354,0.167104668736313,0.207902049674062,0.239208441620914
11,highschool_teachers_to_children,1,0.36504700282317,0.0881691879674002,0.0372656637395284,0.0229174245180065,0.0333303766673037,0.050113152175358,0.0649714952742457,0.0859946385229735,0.106272634369898,0.138840141462354,0.167104668736313,0.207902049674062,0.239208441620914
12,nursary_children_coridors,1,0.397258609722478,0.104415723870069,0.048026667739643,0.0321413367390379,0.041501373354419,0.0583659198715994,0.0724957509410415,0.0931300489484823,0.11258507110865,0.144622527700169,0.171750345254838,0.211373561084261,0.241025549430175
13,elementary_children_coridors,1,0.397258609722478,0.104415723870069,0.048026667739643,0.0321413367390379,0.041501373354419,0.0583659198715994,0.0724957509410415,0.0931300489484823,0.11258507110865,0.144622527700169,0.171750345254838,0.211373561084261,0.241025549430175
14,highschool_children_coridors,1,0.397258609722478,0.104415723870069,0.048026667739643,0.0321413367390379,0.041501373354419,0.0583659198715994,0.0724957509410415,0.0931300489484823,0.11258507110865,0.144622527700169,0.171750345254838,0.211373561084261,0.241025549430175
15,nursary_teachers,1,0.36504700282317,0.0881691879674002,0.0372656637395284,0.0229174245180065,0.0333303766673037,0.050113152175358,0.0649714952742457,0.0859946385229735,0.106272634369898,0.138840141462354,0.167104668736313,0.207902049674062,0.239208441620914
16,elementary_teachers,1,0.36504700282317,0.0881691879674002,0.0372656637395284,0.0229174245180065,0.0333303766673037,0.050113152175358,0.0649714952742457,0.0859946385229735,0.106272634369898,0.138840141462354,0.167104668736313,0.207902049674062,0.239208441620914
17,highschool_teachers,1,0.36504700282317,0.0881691879674002,0.0372656637395284,0.0229174245180065,0.0333303766673037,0.050113152175358,0.0649714952742457,0.0859946385229735,0.106272634369898,0.138840141462354,0.167104668736313,0.207902049674062,0.239208441620914
